timestamp,vehicle_count
2021-02-21 00:00:00,96
2021-02-21 00:05:00,107
2021-02-21 00:10:00,88
2021-02-21 00:15:00,103
2021-02-21 00:20:00,111
2021-02-21 00:25:00,90
2021-02-21 00:30:00,94
2021-02-21 00:35:00,98
2021-02-21 00:40:00,103
2021-02-21 00:45:00,94
2021-02-21 00:50:00,99
2021-02-21 00:55:00,90
2021-02-21 01:00:00,103
2021-02-21 01:05:00,103
2021-02-21 01:10:00,94
2021-02-21 01:15:00,105
2021-02-21 01:20:00,86
2021-02-21 01:25:00,92
2021-02-21 01:30:00,94
2021-02-21 01:35:00,101
2021-02-21 01:40:00,103
2021-02-21 01:45:00,84
2021-02-21 01:50:00,76
2021-02-21 01:55:00,97
2021-02-21 02:00:00,111
2021-02-21 02:05:00,93
2021-02-21 02:10:00,87
2021-02-21 02:15:00,108
2021-02-21 02:20:00,106
2021-02-21 02:25:00,108
2021-02-21 02:30:00,96
2021-02-21 02:35:00,113
2021-02-21 02:40:00,95
2021-02-21 02:45:00,94
2021-02-21 02:50:00,107
2021-02-21 02:55:00,114
2021-02-21 03:00:00,86
2021-02-21 03:05:00,108
2021-02-21 03:10:00,108
2021-02-21 03:15:00,101
2021-02-21 03:20:00,94
2021-02-21 03:25:00,116
2021-02-21 03:30:00,97
2021-02-21 03:35:00,217
2021-02-21 03:40:00,94
2021-02-21 03:45:00,118
2021-02-21 03:50:00,104
2021-02-21 03:55:00,110
2021-02-21 04:00:00,115
2021-02-21 04:05:00,94
2021-02-21 04:10:00,91
2021-02-21 04:15:00,110
2021-02-21 04:20:00,98
2021-02-21 04:25:00,86
2021-02-21 04:30:00,121
2021-02-21 04:35:00,100
2021-02-21 04:40:00,96
2021-02-21 04:45:00,127
2021-02-21 04:50:00,100
2021-02-21 04:55:00,93
2021-02-21 05:00:00,103
2021-02-21 05:05:00,78
2021-02-21 05:10:00,116
2021-02-21 05:15:00,88
2021-02-21 05:20:00,105
2021-02-21 05:25:00,92
2021-02-21 05:30:00,96
2021-02-21 05:35:00,104
2021-02-21 05:40:00,84
2021-02-21 05:45:00,95
2021-02-21 05:50:00,105
2021-02-21 05:55:00,100
2021-02-21 06:00:00,104
